source;translation;type;module;status;customer
"Total amount";"Kopējais apjoms";S;merchant;T;N
"Affiliate note";"Partneru piezīme";B;merchant;T;N
"payee";"maksājuma saņēmējs";S;merchant;T;N
"Date";"Datums";B;;T;N
"Data 1";"Dati 1";B;merchant;T;N
"Data 2";"Dati 2";B;merchant;T;N
"Clicks raw";"atkārtotie klikšķi";S;;T;Y
"Clicks unique";"unikālie klikšķi";S;;T;Y
"Raw clicks older than %s are deleted";"Neapstrādātie klikšķi vecāki par  %s tiek izdzēsti";S;merchant;T;N
"Failed to delete raw clicks";"Neizdevās izdzēst neapstrādātos klikšķus";S;merchant;T;N
"Impressions raw";"Neapstrādātās impresijas";S;;T;N
"Impressions unique";"Unikālās impresijas";S;;T;N
"Sales count";"Pārdošanu uzskaite";S;;T;N
"Table name";"Tabulas nosaukums";S;merchant;T;N
"Records";"Ieraksti";S;merchant;T;N
"Total size";"Kopējais izmērs";S;merchant;T;N
"Data size";"Datu izmērs";S;merchant;T;N
"Index size";"Indeksa izmērs";S;merchant;T;N
"Transaction";"Transakcija";B;;T;N
"Payout status";"Izmaksas statuss";B;merchant;T;N
"Data 3";"Dati 3";B;merchant;T;N
"Data 4";"Dati 4";B;merchant;T;N
"Data 5";"Dati 5";B;merchant;T;N
"Tracked by";"Izsekojis";B;merchant;T;N
"Time";"Laiks";B;;T;N
"Click data 1";"Klikšķa dati 1";B;merchant;T;Y
"Click data 2";"Klikšķa dati 2";B;merchant;T;Y
"unpaid";"Neapmaksāts";B;;T;Y
"Username must be valid email address";"Lietotāja vārdam jābūt derīgai e-pasta adresei";S;;T;N
"You have to agree with terms & conditions";"Jums ir jāpiekrīt noteikumiem";B;;T;Y
"is mandatory";"ir obligāts";B;;T;Y
"Payout settings saved";"Izmaksu uzstādījumi saglabāti";S;merchant;T;N
"Affiliate details";"Partnera detaļas";B;merchant;T;Y
"Parent";"Vecāks";S;merchant;T;N
"Firstname";"Vārds";B;;T;Y
"Lastname";"Uzvārds";B;;T;Y
"Parent ID";"Vecāka ID";S;merchant;T;N
"Parent username";"Vecāka lietotājvārds";S;merchant;T;N
"Parent first name";"Sponsora vārds";S;merchant;T;N
"Parent last name";"Vecāka uzvārds";S;merchant;T;N
"Status successfully set to selected url(s)";"Izvēlētais url statuss veiksmīgi iestatīts";S;merchant;T;N
"Failed to set status selected url(s)";"Izvēlēto url statusu iestatīt neizdevās";S;merchant;T;N
"Commission group";"Komisiju grupa";B;;T;Y
"Commision group";"Komisiju grupa";S;merchant;T;N
"Selected commission group(s) are changed";"Izvēlētā(s) komisiju grupa(s) ir izmainīta(s)";S;merchant;T;N
"Changes saved";"Izmaiņas saglabātas";S;;T;N
"Application Name";"Post Affiliate Pro ";S;;T;N
"New password URL";"Jauns paroles URL";S;;T;N
"Request valid until";"Pieprasījums derīgs līdz";S;;T;N
"Request new password";"Jaunas paroles pieprasīšana";B;;T;Y
"Wrong username/password";"Nepareizs lietotājvārds/parole";S;;T;N
"Select account";"Izvēlieties kontu";B;;T;Y
"Authentication failed";"Autorizācija neizdevās";S;;T;N
"User authenticated. Logging in.";"Lietotājs autorizēts. Pieslēdzos.";S;;T;N
"You entered invalid security code";"Jūs ievadījāt nepareizu drošības kodu";S;;T;N
"You entered invalid username";"Jūs ievadījāt nepareizu lietotājvārdu";S;;T;N
"Your password was changed. Go back to login dialog and login.";"Jūsu parole ir nomainīta. Dodieties atpakaļ uz pieslēgšanās dialogu un pieslēdzieties.";S;;T;N
"Logout error";"Atslēgšanās kļūda";S;;T;N
"Logout successful";"Atslēgšanās no sistēmas veiksmīgi notikusi";S;;T;N
"User account not approved yet";"Lietotāja konts vēl nav apstiprināts";S;;T;N
"File to export is not defined";"Eksportējamais fails nav definēts";S;;T;N
"Unsupported";"Neatbalstīts";S;;T;N
"Import file is not defined";"Importējamais fails nav definēts";S;;T;N
"Export data";"Eksportēt datus";B;;T;Y
"Data was successfully exported to file %s";"Dati veiksmīgi eksportēti failā %s";S;;T;N
"File name";"Faila nosaukums";B;;T;N
"Modules";"Moduļi";S;;T;N
"Size";"Izmērs";S;;T;N
"Could not create account. (%s)";"Neizdevās izveidot kontu. (%s)";S;;T;N
