source;translation;type;module;status;customer
"Clicks unique";"Click unici";S;;T;N
"Raw clicks older than %s are deleted";"Elenco click più vecchi di %s sono cancellati";S;merchant;T;N
"Failed to delete raw clicks";"Cancellazione click totali non riuscita";S;merchant;T;N
"Impressions raw";"Impressions totali";S;;T;N
"Impressions unique";"Impression uniche";S;;T;N
"Sales count";"Contatore vendite";S;;T;N
"Table name";"Nome tabella";S;merchant;T;N
"Records";"Records";S;merchant;N;N
"Total size";"Dimensioni totali";S;merchant;T;N
"Data size";"Dimensione dati";S;merchant;T;N
"Index size";"Dimensioni indice";S;merchant;T;N
"Transaction";"Transazione";B;;T;N
"Payout status";"Stato Pagamento";B;merchant;T;N
"Data 3";"Data 3";B;merchant;N;N
"Data 4";"Data 4";B;merchant;N;N
"Data 5";"Data 5";B;merchant;N;N
"Tracked by";"Tracciato con";B;merchant;T;N
"Time";"Ora";B;;T;N
"Click data 1";"Click data 1";B;merchant;N;N
"Click data 2";"Click data 2";B;merchant;N;N
"unpaid";"Non pagati";B;;T;N
"Username must be valid email address";"Username deve essre un indirizzo email valido";S;;T;N
"You have to agree with terms & conditions";"Devi accettare i termini e le condizioni";B;;T;N
"is mandatory";"è obbligatorio";B;;T;N
"Payout settings saved";"Impostazioni pagamento salvate";S;merchant;T;N
"Affiliate details";"Dettagli affiliato";B;merchant;T;N
"Date joined";"Data iscrizione";B;;T;N
"Date approved";"Data approvazione";B;merchant;T;N
"Parent";"Sponsor (parent)";S;merchant;T;N
"Firstname";"Nome";B;;T;N
"Lastname";"Cognome";B;;T;N
"Parent ID";"Parent ID";S;merchant;N;N
"Parent username";"Parent username";S;merchant;N;N
"Parent first name";"Sponsor nome";S;merchant;T;N
"Parent last name";"Sponsor cognome";S;merchant;T;N
"AffiliatesImportExportDescription";"Dati affiliati - puoi utilizzarli per caricare nuovi affiliati nel sistema";B;merchant;T;N
"Status successfully set to selected url(s)";"Stato impostato correttamente agli url selezionati";S;merchant;T;N
"Failed to set status selected url(s)";"Impostazione stato url(s) selezionato non riuscita";S;merchant;T;N
"Commission group";"Gruppo di commissioni";S;;T;N
"Commision group";"Gruppo di commissioni";S;merchant;T;N
"Selected commission group(s) are changed";"Il gruppo di commissioni selezoinato è stato modificato";S;merchant;T;N
"Changes saved";"Modifiche salvate";S;;T;N
"Application Name";"Post Affiliate Pro";S;;N;N
"New password URL";"URL nunova password";S;;T;N
"Request valid until";"richiesta valida fino";S;;T;N
"Request new password";"Richiedi nuova password";B;;T;N
"Wrong username/password";"Username o password sbagliati";S;;T;N
"Select account";"Seleziona account";B;;T;N
"Authentication failed";"Autenticazione fallita";S;;T;N
"User authenticated. Logging in.";"Autenticazione utente. Logging in.";S;;T;N
"You entered invalid security code";"Hai inserito un codice di sicurezza non valido";S;;T;N
"You entered invalid username";"Hai inserito un username non valido";S;;T;N
"Within a few minutes you will receive instruction on how to reset you password.";"Riceverai entro pochi minuti un email con le istruzioni necessarie per resettare la tua password";S;;T;N
"Your password was changed. Go back to login dialog and login.";"La tua password è stata cambiata. Torna al login e accedi nuovamente.";S;;T;N
"Logout error";"Errore Logout";S;;T;N
"Logout successful";"Logout riuscito";S;;T;N
"Invalid password request. You have to request again new password before trying to set password.";"Richiesta password non valida, devi richiedere una nuova password prima di provare a impostare la password";S;;T;N
"User account not approved yet";"Account utente non ancora approvato";S;;T;N
"File to export is not defined";"Il File da esportare non è definito";S;;T;N
"Unsupported";"Non supportato";S;;T;N
"Import file is not defined";"Importa file non è definito";S;;T;N
"Export data";"Export data";B;;N;N
"Data was successfully exported to file %s";"Dati esportati correttamente nel file %s";S;;T;N
"File name";"Nome file";B;;T;N
"Modules";"Moduli";S;;T;N
"Size";"Dimensioni";S;;T;N
"Could not create account. (%s)";"Impossibile creare account. (%s)";S;;T;N
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"La cartella %s non è scrivibile su questo webserver. Rimuovere o impostare i permessi di scrittura.";S;;T;N
"Failed to delete %s filter(s)";"Cancellazioni %s filtri non riuscita";S;;T;N
"%s filter(s) successfully deleted";"%s filtro(i) correttamente cancellati";S;;T;N
"Failed to load default mail account. Please check your mail account settings.";"Caricamento email account predefinito non riuscito. Controlla le impostazioni email account.";S;;T;N
"View name must be unique";"Nome visuale deve essere unico";S;;T;N
"Maximum length of %s in %s is %s";"Maximum length of %s in %s is %s";S;;N;N
"Relation constraint";"Relation constraint";S;;N;N
"must be unique";"Deve essere unico";S;;T;N
"Error changing theme";"Errore cambiamento tema";S;;T;N
"Theme changed";"Tema modificato";S;;T;N
"Failed to delete %s wallpaper(s)";"Cancellazione %s sfondo non riuscita";S;;T;N
"%s wallpaper(s) successfully deleted";"%s sfondo cancellato correttamente";S;;T;N
"Failed to save wallpaper with error %s";"Failed to save wallpaper non riuscita con errore: %s ";S;;T;N
"Wallpaper saved.";"Sfondo salvato";S;;T;N
"Side bar saved";"Side bar salvata";S;;T;N
"Windows saved";"Finestra salvate";S;;T;N
"Quick Launch saved";"Avvio rapido salvato";S;;T;N
"File does not exist";"File non esiste";S;;T;N
"File was successfully uploaded";"Il File è stato caricato correttamente";S;;T;N
"Unsupported gadget";"Gadget non supportato";S;;T;N
"Gadget";"Gadget";S;;N;N
"Gadget added";"Gadget aggiunto";S;;T;N
"Failed to close gadget";"Chiusura gadget non risucita!";S;;T;N
"Gadget successfully closed";"Gadget chiuso correttamente";S;;T;N
"Docking";"Docking";S;;N;N
"Gadgets saved";"Gadgets salvati";S;;T;N
"Create Account";"Crea Account";B;;T;N
"Account is already created.";"L'account è gia stato creato.";S;;T;N
"Create Database";"Crea Database";B;;T;N
"Could not create database. %s";"Impossibile creare database. %s";S;;T;N
"doesnt exist's";"non esiste";S;;T;N
"Internal error";"Errore interno";B;;T;N
"Error during database creation.";"Errore durante la creazione del database.";S;;T;N
"OK";"OK";B;;N;N
"Failed to read headers of CSF file %s";"Lettura headers del file CSF %s non riuscita";S;;T;N
"Could not change permissions %s";"Impossibile cambiare i permessi %s";S;;T;N
"Could not open file";"Impossibile aprire il file";S;;T;N
"Could not read file";"Impossibile leggere il file";S;;T;N
"Rewind unsupported in this file stream";"Riavvolgi non supportati in questo stream file";S;;T;N
"File %s does not exist.";"File %s non esiste.";S;;T;N
"Failed to read file %s";"Lettura file %s non riuscita";S;;T;N
"Could not create directory %s";"Impossibile creare cartella %s";S;;T;N
"Could not open language file %s";"Inpossibile aprire il file di lingua %s";S;;T;N
"Level";"Livello";S;;T;N
"Message";"Messaggio";B;;T;N
"File";"File";S;;N;N
"Line";"Line";B;;N;N
"Group ID";"Gruppo ID";S;;T;N
"Log event";"Log event";S;;N;N
"Event(s) are deleted";"Event(s) sono stati cancellati";S;;T;N
"No event(s) to delete";"Nessun evento cancellato";S;;T;N
"Debug event(s) are deleted";"Evento(i) Debug cancellati";S;;T;N
"No debug event(s) to delete";"Nessun evento debug cancellato";S;;T;N
"Mail Account Name";"Nome mail account";S;;T;N
"From Name";"Da nome";B;;T;N
"From Email";"Da email";S;;T;N
"Use SMTP protocol";"Utilizza protocollo SMTP";S;;T;N
"SMTP Server";"SMTP Server";B;;N;N
"SMTP Port";"SMTP Port";B;;N;N
"SMTP Authentication";"Autenticazione SMTP";S;;T;N
"Use SSL connection";"Utilizza connessione sicura (SSL)";S;;T;N
"SMTP Username";"SMTP Username";S;;N;N
"Is default mail account";"è mail account predefinito";S;;T;N
"Yes";"Si";B;;T;N
"No";"No";B;;N;N
"Email account test mail";"Email account test mail";B;;N;N
"Default Mail Account";"Email predefinita account";S;;T;N
"Email settings saved";"Impostazioni email salvate";S;;T;N
"Test mail scheduled, check outbox if it was sent.";"Testa email programmate, controllo inviati in outbox";S;;T;N
"Failed to restart %s row(s)";"Riavvio %s righe non riuscito";S;;T;N
"%s row(s) successfully restarted";"%s riga(s) correttamente riniziata";S;;T;N
"To recipients";"Ai destinatari";S;;T;N
"Mail subject";"Oggetto email";S;;T;N
"Scheduled at";"Programmato al";S;;T;N
"Last retry";"Ultimo tentativo";S;;T;N
"Retry number";"Riprova numero";S;;T;N
"Error message";"Messaggio di errore";S;;T;N
"Account name";"Nome account";B;;T;N
"Server Date";"Data server";S;;T;N
"Server Time";"Ora server";S;;T;N
"Mail template not defined in database for class %s";"Mail template non definito nel database per classe %s";S;;T;N
"Recipients empty";"Destinatario vuoto";S;;T;N
"Body of mail not specified";"Corpo dell'email non specificato";S;;T;N
"From address is empty";"Indirizzo DA è vuoto";S;;T;N
"Failed to init mail headers";"Iniziazione mail headers non riuscita";S;;T;N
"Email transfer method error";"Modalità di trasferiemnto email errore";S;;T;N
"Application Title";"Post Affiliate Pro";S;;N;N
"Failed to save settings with error %s";"Failed to save settings non riuscita con errore: %s ";S;;T;N
"Proxy server settings saved.";"Impostazioni Proxy server salvate";S;;T;N
"Failed to load proxy server settings.";"Caricamento impostazioni proxy server non riuscito.";S;;T;N
"Pdf saved";"PDF salvato";S;;T;N
"Path to save file '%s' not exist";"Path per salvare file '%s' non esiste";S;;T;N
"Path to save file %s is null";"Path per salvare file %s è null";S;;T;N
"Unable to create file %s%s.pdf";"Impossibile creare PDF file %s%s.";S;;T;N
"Pdf output: %s";"PDF output: %s";S;;T;N
"Role";"Ruolo";B;;T;N
"Logged in";"Logged in";S;;N;N
"Last Request";"Ultima richiesta";S;;T;N
"entries";"entrate";S;;T;N
"SettingsImportExportDescription";"Tutte le impostazioni di sistema";B;;T;N
"Undefined table name";"nome tabella indefinito";S;;T;N
"Undefined $option";"$option indefinita";S;;T;N
"Table alias must by defined";"Alias Tabelle devono essere definiti";S;;T;N
"equals";"uguale";S;;T;N
"not equals";"Non uguale";S;;T;N
"is like";"è come";S;;T;N
"is not like";"non è come";S;;T;N
"is greater";"è maggiore";S;;T;N
"is lower";"è minore";S;;T;N
"is greater or equal";"è maggiore uguale";S;;T;N
"is lower or equal";"è minore uguale";S;;T;N
"is";"è";S;;T;N
"is in";"è dentro";S;;T;N
"Template";"Template";S;;N;N
"Unable to save template '%s'";"Impossibile salvare il template '%s'";S;;T;N
"Template '%s' saved";"Template '%s' salvato";S;;T;N
"Filter does not exist";"Filtro non esiste";S;;T;N
"Filter saved";"Filtro salvato";S;;T;N
