source;translation;type;module;status;customer
"per sale / lead";"パー セール / リード";B;;T;N
"CampaignsImportExportDescription";"キャンペーンとそのコミッション額の設定";B;merchant;T;N
"loadCommissionGroups: campaignId is empty";"ロードコミッショングループ： キャンペーンは空欄です。";S;merchant;T;N
"Campaign ID cannot be empty!";"キャンペーン ID は空欄にできません。";S;merchant;T;N
"CommissionTypeId (Id) cannot be empty!";"コミッションタイプIDは空欄にできません。";S;merchant;T;N
"CommissionGroupId cannot be empty!";"コミッショングループIDは空欄にできません。";S;merchant;T;N
"Commission type does not exist";"コミッションタイプが存在しません。";S;merchant;T;N
"Commissions saved successfully";"コミッションはうまく保存されました。";S;merchant;T;N
"Field 'type' does not exist";"「タイプ」フィールドが存在しません。";S;merchant;T;N
"Failed to change status";"ステータスの変更に失敗しました。";S;merchant;T;N
"Status successfully changed";"ステータスはうまく変更されました。";S;merchant;T;N
"CommissionsImportExportDescription";"コミッション（トランザクション、オーダー）がシステムにより登録されました。";B;merchant;T;N
"Affiliate screen";"アフィリエイト スクリーン";S;merchant;T;N
"Affiliate panel menu saved";"アフィリエイト パネル メニューが保存されました。";S;merchant;T;N
"Error changing default theme";"エラー：　デフォルトテーマの変更に失敗しました。";S;merchant;T;N
"Default theme changed";"デフォルトテーマが変更されました。";S;merchant;T;N
"Program name and logo saved";"プログラム名とロゴが保存されました。";S;merchant;T;N
"Affiliate signup settings saved";"アフィリエイト サインアップ設定が保存されました。";S;merchant;T;N
"Banner format successfully saved";"バナーフォーマットはうまく保存されました。";S;merchant;T;N
"Cookies settings saved";"クッキー設定が保存されました。";S;merchant;T;N
"Symbol";"シンボル";B;;T;N
"Precision";"プレシジョン";B;;T;N
"Where to display";"表示位置";B;;T;N
"Exchange rate";"エクスチェンジレート";S;;T;N
"NEW";"新規";B;;T;N
"Currency";"通貨";B;;T;N
"Fraud protections saved";"フロードプロテクションが保存されました。";S;merchant;T;N
"Logging saved";"ロギングが保存されました。";S;merchant;T;N
"Parameter names saved";"パラメーター名が保存されました。";S;merchant;T;N
"Tracking saved";"トラッキングが保存されました。";S;merchant;T;N
"URLs & Directories saved";"URLとディレクトリが保存されました。";S;merchant;T;N
"Affiliates successfully paid";"アフィリエイトにうまく支払われました。";S;merchant;T;N
"Email";"電子メール";B;;T;N
"VAT";"VAT";S;merchant;N;N
"To pay";"支払う";S;merchant;T;N
"Declined";"中止する";B;;T;N
"Minimum payout";"最小ペイアウト";S;merchant;T;N
"Payout data";"ペイアウト データ";B;merchant;T;N
"N/A";"不詳";S;merchant;T;N
"New payout option";"新規ペイアウト オプション";S;merchant;T;N
"New payout option %s";"新規ペイアウト オプション %s";S;merchant;T;N
"Payout option";"ペイアウト オプション";S;merchant;T;N
"Payout history";"ペイアウト履歴";S;merchant;T;N
"Date paid";"支払日";S;merchant;T;N
"Payees";"受取人";S;merchant;T;N
"Total amount";"総合計";S;merchant;T;N
"Affiliate note";"アフィリエイトへの連絡事項";B;merchant;T;N
"payee";"支払人";S;merchant;T;N
"Date";"日付";B;;T;N
"Data 1";"データ 1";B;merchant;T;N
"Data 2";"データ 2";B;merchant;T;N
"Clicks raw";"直接クリック";S;;T;N
"Clicks unique";"ユニークなクリック";S;;T;N
"Raw clicks older than %s are deleted";"%sより古い直接クリックは削除されます。";S;merchant;T;N
"Failed to delete raw clicks";"直接クリックの削除に失敗しました。";S;merchant;T;N
"Impressions raw";"直接インプレッション";S;;T;N
"Impressions unique";"ユニークなインプレッション";S;;T;N
"Sales count";"セールスカウント";S;;T;N
"Table name";"テーブル名";S;merchant;T;N
"Records";"レコード";S;merchant;T;N
"Total size";"トータルサイズ";S;merchant;T;N
"Data size";"日付サイズ";S;merchant;T;N
"Index size";"インデックスサイズ";S;merchant;T;N
"Transaction";"トランザクション";B;;T;N
"Payout status";"ペイアウト ステータス";B;merchant;T;N
"Data 3";"データ 3";B;merchant;T;N
"Data 4";"データ 4";B;merchant;T;N
"Data 5";"データ 5";B;merchant;T;N
"Tracked by";"トラックバイ";B;merchant;T;N
"Time";"時刻";B;;T;N
"Click data 1";"クリック データ 1";B;merchant;T;N
"Click data 2";"クリック データ 2";B;merchant;T;N
"unpaid";"未払い";B;;T;N
